factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment
AKR Fashions Ltd.,Woven,5.0,480.0,250,2160000,"Men's Shirt ,Ladies Shirt ,Pant","Jorpul Bus Stand, Tetuljhora, Rajfulbaria, Savar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2004
Al Yusar Textiles Ltd.,Woven,1.0,247.0,133,90200,"Shirt ,Pant ,Jacket","Keshabpur, Sitalpur, Sitakunda, Chittagong, Chittagong",Chittagong,Chittagong,2021
Al-Amin Export Ltd.,Knit,5.0,750.0,500,830000,Sweater,"Al-Amin Center, Madani Nagar, Sanarpar, Narayanganj, Siddirgonj",Narayanganj,Siddirgonj,2014
Al-Amin Garment Inds. Ltd,Knit,5.0,600.0,500,500000,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Wazedia, Panchlaish, Chittagong, Panchlaish",Chittagong,Panchlaish,1984
Al-Amin Knit Wears,Knit,1.0,1.0,118,350000,"T-Shirt ,Polo Shirt","Madaninagar,Sanarpar, Siddirgonj, Narayanganj, Narayangonj",Narayanganj,Narayangonj,2023
AL-Haram Apparels Ltd.,Woven,1.0,,122,0,,"Holding # 06, Ward # 43, Oni Member Road, Pagar, Tongi, Gazipur, Gazipur, Gazipur",Gazipur,Gazipur,2021
Al-Islam Textiles Ltd.,Woven,5.0,3478.0,3500,7945000,"Jackets ,Trouser ,Shirt ,Pant","9, Karnapara, Savar, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2010
Al-Ittefaq Textiles Ltd.,Knit,5.0,200.0,400,12000,"T-Shirts ,Polo Shirts","Plot # 11, Mohora CDA I/A, Chittagong, Chandgaon",Chittagong,Chandgaon,2015
Al-Muslim Fashions Wear Ltd.,Woven,5.0,350.0,150,75000,"Jackets ,Pants ,Pumpers ,Trousers","Razzak Plaza, B-120 Jaleshwar, Savar Bazar Bus Stand, Dhaka, Savar Bazar",Dhaka,Savar Bazar,1997
Al-Muslim Garments Ltd.,Woven,5.0,600.0,250,100000,"Pants ,Jackets ,Trousers ,Rumpers","Razzak Plaza, B-120 Jaleshwar, Savar Bazar Bus Stand, Dhaka, Savar",Dhaka,Savar,1992
Al-Tahsin Apparels Ltd.,Knit,5.0,700.0,315,575000,"Long Pants ,Polo Shirts ,Sweat Shirts ,Bermuda","Chandura, Mouchak, Gazipur, Kaliakoir",Gazipur,Kaliakoir,2007
Alamode Apparels Ltd.,Knit,5.0,450.0,176,720000,"T-Shirts ,Underwears ,Briefs","12/13, BSCIC I/A, Chittagong, Kalughat",Chittagong,Kalughat,2008
Alauddin & Sons (Pvt.) Ltd. (Gr.Dv.),Woven,5.0,307.0,154,46000,"Jackets ,Trousers ,Pants ,Dresses","120, East Tejturi Bazar, Dhaka, Tajgaon I/A",Dhaka,Tajgaon I/A,1994
Alauddin Garments Ltd.,Woven,5.0,562.0,152,60000,"Shirts ,Dresses ,Pants ,Jackets","88, Kazi Nazrul Islam Avenue, Dhaka, Kawran Bazar",Dhaka,Kawran Bazar,2004
Aleaya Sweater Ltd.,Sweater,5.0,201.0,297,45000,Sweaters,"Dhour, Dhaka, Uttara",Dhaka,Uttara,2007
Alema Textiles Ltd.,Knit,5.0,2600.0,1093,1000000,"T-Shirts ,Blouses ,Jackets ,Pants","Basan Sarak Bazar, Gazipur, Vogra",Gazipur,Vogra,2010
Alert Fashions Ltd.,Knit,5.0,350.0,150,180000,"T-Shirts ,Polo Shirts ,Under Garments ,Swim Suits","J. Alam Tower, Abdul Latif Road, Middle Halishahar, Chittagong, Bandar",Chittagong,Bandar,2006
Aleya apparels Ltd.,Woven,5.0,1153.0,0,240000,"Shirts ,Pants","244, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2016
Alfa Patterns (Bangladesh) Ltd.,,,50.0,600,2430000,"Panties ,Bra","Plot # 58, DEPZ (Old), Ganakbari, Savar, Dhaka",Savar,Dhaka,2011
Alfa Textiles Ltd.,Woven,5.0,1381.0,982,244392,"Dress Shirts ,Shirts ,Pants","49 (NP), Kalurghat I/A, Chittagong, Kalurghat",Chittagong,Kalurghat,1992
Ali Garments Ltd.,Woven,5.0,990.0,520,244000,"Jackets ,Jogging Suits ,Pants ,Shorts","8, Dagerhcala (3rd Floor), Gazipur, National University",Gazipur,National University,1985
Alien Apparels Ltd.,Woven,1.0,535.0,200,2880000,"Shirt ,Pant ,Jacket ,Trouser","Kathalia, Kaliakoir, Gazipur, Gazipur, Gazipur",Gazipur,Gazipur,2017
Aliens Texwear Ltd.,Knit,1.0,500.0,286,6000000,"Kids Items ,Men's Wear ,Ladies Wear","Hatimara, Kashimpur, Gazipur, Gazipur",Gazipur,Gazipur,2017
Alif Apparels Limited,Woven,5.0,300.0,130,72000,"Shirts ,Blouses ,Sports wear","Road # 01, House # 11, Kha Ring Road, Dhaka, Mohammadpur",Dhaka,Mohammadpur,1992
Alif Casual Wear Ltd.,Knit,5.0,1250.0,687,32000000,"T-Shirts ,Polo Shirts ,Shirts ,Pants","69 Vogra, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2014
Alif Garments Ltd,Woven,5.0,435.0,271,146000,"Men's Shirts ,Ladies Blouses ,Dresses","21/22, Babar Road, Block- B, Dhaka, Mohammadpur",Dhaka,Mohammadpur,1985
Alif Outwears Limited,Woven,5.0,250.0,114,70000,"Shirts ,Ladies Blouses ,Jacket","30, Ring Road (2nd Floor), Dhaka, Shamoli",Dhaka,Shamoli,1996
Alif Textiles Ltd.,Woven,5.0,310.0,135,70000,"Men's Shirts ,Ladies Blouses ,Uniforms","74/A, Science Laboratary Road, Dhaka, Dhanmondi",Dhaka,Dhanmondi,1994
Alim Knit (BD) Ltd.,Knit,5.0,1114.0,606,1000000,"T-Shirts ,Polo Shirts","Kashimpur, Gazipur, Nayapara",Gazipur,Nayapara,2009
Alim Knitwears Ltd.,Knit,5.0,235.0,195,150000,"T-Shirts ,Polo Shirts ,Knit Trousers","27, Harunabad, Senanibas Road, Section # 12, Pallabi, Dhaka, Dhaka",Dhaka,Dhaka,2000
Aliza Fashion Ltd.,Woven,5.0,350.0,170,26000,"Pants ,Trousers ,Jackets","Chaydank, K.B. Bazar, National University, Gazipur, Gazipur",Gazipur,Gazipur,2012
All Round Knit Wear Ltd.,Knit,5.0,250.0,85,180000,"T-Shirts ,Polo Shirts","Godenail, Bhuiyanpara, Narayanganj, Siddirgonj",Narayanganj,Siddirgonj,2014
All Weather Fashions Ltd.,Woven,5.0,750.0,463,100000,"Jackets ,Children Wears ,Trousers ,Dress","52, Shaheed Tajuddin Ahmed Sarani, Dhaka, Mohakhali",Dhaka,Mohakhali,1992
Allahma Apparels,Woven,5.0,250.0,55,90000,T-Shirts/Polo Shirts,"Plot # 97, Street # 1, Block # D, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,1990
Alliance Apparels Ltd.,Woven,5.0,250.0,129,70000,"Shirts ,Jackets ,Pants","Shamsher Market, Darussalam, 191/1, South Bishil, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,2011
Alliance Fashion Wears Ltd.,Woven,5.0,310.0,250,36000,"Jackets ,Denim Items ,Trousers ,Jogging Suits","House # 79, Block - L, New Airport Road, Dhaka, Banani",Dhaka,Banani,1993
Alliance Garments Ltd.,Woven,5.0,600.0,300,210000,"Trousers ,Padded Jackets ,Jogging Suits","House # 8 & 10, Road # 3, Section # 7, Mirpur I/A, Dhaka, Mirpur",Dhaka,Mirpur,1991
Alliance Knit Composite Ltd.,Knit,5.0,767.0,666,700000,"T-Shirts ,polo Shirts","Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2014
Alliance Stitches Ltd.,Sweater,5.0,1200.0,751,35000,"Trousers ,Skirts ,Vest","SFB # 4 (1st & 2nd floor), Ganakbari, Dhaka, Dhaka",Dhaka,Dhaka,2022
Allied Garments Ltd.,Woven,5.0,430.0,177,120000,"Shirts ,Ladies Blouses ,Children Wears","468, D.I.T. Road, Malibagh Supper Market, Dhaka, Malibagh",Dhaka,Malibagh,1985
Alltex Industries Ltd.,Woven,5.0,711.0,60,250000,"Bad Sheets ,Quilt Covers","Tarabo, Narayanganj, Rupganj",Narayanganj,Rupganj,1998
Allure Apparel Ltd.,Woven,5.0,250.0,125,20000,"Jackets ,Pants","Gorat (3rd Floor), Ashulia, Dhaka, Savar",Dhaka,Savar,1997
Alluring Fashions Ltd.,Woven,5.0,400.0,126,90000,"Shirts ,Pants","Bijoy Road, Mogarkhal, National University, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2014
Alpha Clothing Ltd.,Woven,5.0,500.0,406,120000,"Shirts ,Pants","South Panishail, Gazipur, Kashimpur",Gazipur,Kashimpur,2013
Alpha Dresswear Ltd.,Knit,5.0,239.0,208,2400000,"T-Shirts ,Polo Shirts","Shi-201/8, Teknagpara, Gazipur, Chandana",Gazipur,Chandana,2015
Alpha Knit Apparels Ltd.,Knit,5.0,250.0,143,30000,"T-Shirts ,Polo Shirts","North Gazir Chat, Madrasha Road, Ashulia, Dhaka, Savar",Dhaka,Savar,2007
Alpha Knitting Wear Ltd.,Woven,5.0,600.0,283,120000,"Shirts ,Gir's Shirts ,Boy's Shirts","888, Shawra Para, Rokeya Sarani, Dhaka, Mirpur",Dhaka,Mirpur,1989
Alps Apparels Ltd.,Knit,5.0,450.0,200,200000,"T-Shirts ,Polo Shirts ,Tank Top","11/B, Extension Pallabi, Dhaka, Mirpur",Dhaka,Mirpur,1992
Alsina Garments Ltd.,Woven,5.0,500.0,276,42000,"Shirts ,Pants","A-84/4 East rajashon, Birulia Road, Rajashon, Dhaka, Savar",Dhaka,Savar,2015
Alternative Sweaters Ltd.,Sweater,5.0,50.0,45,30000,Sweater,"Holding # 1745/1, Uttar Mullah Para, Uttar Khan, Dhaka, Uttara",Dhaka,Uttara,2015
Alvin Fashion Ltd.,Woven,5.0,300.0,220,52000,"Jackets ,Pants ,Trousers","Chaydana, Gazipur, K.B. Bazar",Gazipur,K.B. Bazar,2010
Ama Syntex Ltd.,Knit,5.0,50.0,140,210000,"T-Shirts ,Polo Shirts ,Tank Tops","Jarun (South), Gazipur, Kashimpur",Gazipur,Kashimpur,2008
Aman Fashions & Designs Ltd.,Sweater,5.0,980.0,602,91000,Sweaters,"Nalam, Mirzanagar, Ashulia, Dhaka, Savar",Dhaka,Savar,2010
Aman Graphics & Designs Ltd.,Woven,5.0,560.0,290,180000,"Shirts ,Jackets ,Pants","Nazim Nagar, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2011
Aman Knittings Ltd.,Sweater,5.0,3150.0,1325,205000,Sweaters,"Kulasur, Hemayetpur, Dhaka, Savar",Dhaka,Savar,1999
Aman Sweaters Ltd.,Sweater,5.0,885.0,559,106000,Sweaters,"Rajaghat Road, Rajfulbaria, Dhaka, Savar",Dhaka,Savar,2008
Aman Tex Unit-2 Ltd.,Knit,5.0,3094.0,250,125000,"T-Shirts ,Polo Shirts","Boiragirchala, Gazipur, Sreepur",Gazipur,Sreepur,2015
Aman Winter Wears Ltd.,Sweater,5.0,510.0,308,180000,"Sweaters ,Pullovers","Singair Road, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2012
Amana Knittex,Knit,5.0,325.0,117,188750,"t-Shirts ,Polo Shirts","Amana Complex, Masdair,, Gorosthan, Gabtoli Mor, Narayanganj, Fatullah",Narayanganj,Fatullah,2014
Amana Textile,Knit,5.0,325.0,113,188750,"T-Shirts ,Polo Shirts","Amana Complex, Masdair, Gorosthan Mor, Narayanganj, Fatullah",Narayanganj,Fatullah,2014
Amanah Apparels,Woven,1.0,1.0,163,488000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Norsinghopur, Zirabo, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2023
Amanah Fashion Ltd.,Woven,5.0,278.0,193,75000,"Shirts ,Pants","House # 30, Hazi Mofiz Uddin Member Road,, Hajipara, Dhaka, North Badda",Dhaka,North Badda,2014
Amantex Ltd.,Knit,5.0,3200.0,1620,1872000,"T-Shirts ,Polo Shirts ,Knitted Top/BOttom","Boiragirchala, Gazipur, Sreepur",Gazipur,Sreepur,2008
Amazing Fashions Ltd.,Knit,5.0,1298.0,709,468000,"T-Shirts ,Polo Shirts ,Knitted Jackets","10, Dager Chala, National University, Gazipur, Board Bazar",Gazipur,Board Bazar,2007
Ambia Apparels Ltd.,Woven,5.0,280.0,249,60000,"T-Shirts ,Pants ,Swimming Trunks ,Wind Suits","7, Agrabad C/A, Chittagong","7, Agrabad C/A,",Chittagong,1999
Ambia Fashions Ltd.,Woven,5.0,0.0,124,0,"Jackets ,Trousers ,Pants","171/A, Dewanhat, Port City, Chittagong, Doublemooring",Chittagong,Doublemooring,2009
Ambition Garments Ltd.,Woven,5.0,400.0,200,90000,"Shirts ,Trousers ,Pants ,Shorts","Al-Amin Plaza, 320, East Rampura, Dhaka, Rampura",Dhaka,Rampura,2009
AMC Knit Composite Ltd.,Knit,5.0,2580.0,947,2092000,"T-Shirts ,Polo Shirts ,Shorts","Baniachala, Member Bari, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2010
AMC Sweaters Ltd.,Sweater,5.0,1000.0,946,107510,"Sweaters ,Pullovers ,Cardigans ,Vest","158/283, Choydana, National University, Gazipur, Gazipur",Gazipur,Gazipur,1999
Ameen Fabrics Ltd.,Knit,5.0,377.0,200,40000,"Pants ,Jackets ,Jogging Suits","Senpara, Kanchpur, Narayanganj, Sonargaon",Narayanganj,Sonargaon,1997
Ameertex Limited,Knit,5.0,212.0,78,175000,Knit Items,"Anandapur, Dhaka, Savar",Dhaka,Savar,1999
Amena (Pvt) Ltd.,Woven,5.0,450.0,295,104000,"Shirts ,Trousers ,Swimming Shorts","Abdul Latif Market, Road # 9/C, Ahalia, Sector # 6, Dhaka, Uttara",Dhaka,Uttara,2000
Amex Apparel Ltd.,Knit,5.0,500.0,310,520000,"T-Shirts ,Polo Shirts ,Pants ,Sweat Wears","Road # 13, Plot # 21, Shampur, Dhaka, Kadamtoli",Dhaka,Kadamtoli,2004
Amex Knitting & Dyeing Inds. Ltd. (U-2) G.D.,Knit,5.0,400.0,200,250000,"T-Shirts ,Polo Shirts ,Sweat Shirs ,Tank Top","Plot # 19, Road # 13, Rajuk Shampur, Kadamtoly, Dhaka, Old Dhaka",Dhaka,Old Dhaka,2000
Amex Limited,Woven,5.0,762.0,158,40000,"Jackets ,Shorts ,Pants","plot # 647-652, Kolma # 1, Word # 7, Po: Deiry Farm, Dhaka, Savar",Dhaka,Savar,2000
Amheco Fabrics (Pvt.) Ltd.,Woven,5.0,700.0,180,65000,"Shirts ,Blouses ,Jackets","365, Jubilee Road, (2nd Floor), Chittagong, Chittagong",Chittagong,Chittagong,1991
Amichi Apparels Ltd.,Woven,5.0,0.0,0,180000,"Pants ,Jeans ,Jackets ,Trousers","122-123, Darussalam Road (4th Fl), Dhaka, Dhaka",Dhaka,Dhaka,2007
Amir Shirts Ltd.,Woven,5.0,1600.0,1185,7200000,"Shirts ,Pants","Sufua, Noabazar, Kalikapur Union, Comilla, Comilla",Comilla,Comilla,2014
Amity Design Ltd.,Knit,5.0,500.0,250,585000,"T-Shirts ,Polo Shirts ,Pyjama Sets","House # 7 & 9, Road # 9, Block -D, Section # 11, Dhaka, Mirpur",Dhaka,Mirpur,2001
Amity Sweaters Ltd.,Sweater,5.0,1200.0,500,120000,Sweaters,"Plot # 209, Hajirpukur, Gazipur, Choydana",Gazipur,Choydana,2004
Amotex Ltd.,Knit,1.0,759.0,100,50000,"Sweaters ,Socks","Kondol Bagh (Pukurpar), Yarpur, Zirabo, Dhaka, Dhaka",Dhaka,Dhaka,2004
Amotex Ltd. (Woven Unit),Woven,5.0,2935.0,804,80000,"Jackets ,Pants ,Shorts","Civil Engineer City (1st & 2nd Fl), Jarun, Gazipur, Konabari",Gazipur,Konabari,2009
Ample Fashion Ltd.,Knit,5.0,320.0,180,70000,"Girls Dress ,Pants ,Diaper Cover","Plot # 1 (2nd Floor), CDA Heavy I/A, Bahir Signal, Chittagong, Kalurghat",Chittagong,Kalurghat,2009
Amrjin Apparels Ltd.,Knit,5.0,210.0,86,60000,"Jackets ,Trousers ,T-Shirts","2861, FIDC Road, Chittagong, Kalurghat",Chittagong,Kalurghat,2008
AMS Int'l (Sweaters) Ltd.,,,,894,120000,"Sweater(Men, Ladies) ,Infants, Kids ,Shawls, Ponchos ,Hats","34, Choydana, P.O: National University, Gazipur-1700, Gazipur","34, Choydana, P.O: National University, Gazipur-1700",Gazipur,2002
Amtranet Limited,Sweater,5.0,2200.0,1545,525000,Sweaters,"Kasba Tower, Plot # 160, Rajashan I/A, Dhaka, Savar",Dhaka,Savar,2012
An.An. Apparels Ltd.,Woven,5.0,290.0,450,175000,"Swimming Shorts ,Polo Shirts ,Denim Trousers","590, Colonel Jhones Road, Chittagong, Uttar Kattali",Chittagong,Uttar Kattali,1996
Anam Garments Ltd.,Woven,5.0,400.0,300,390000,"Jackets ,Pants ,Trousers","House # 66, Road # 4, Block - B, Section # 12, Dhaka, B. Baria",Dhaka,B. Baria,1992
Anan Socks Limited,Knit,5.0,520.0,350,2000000,Socks,"Mulaid, Mowna, Gazipur, Sreepur",Gazipur,Sreepur,2011
Ananna Sweaters Ltd.,Sweater,5.0,210.0,200,30000,Sweater,"Tangail Road, Out Para, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2015
Anannya Fashions Ltd.,Woven,5.0,323.0,130,50000,"Shirts ,Pants ,Jackets","H # 79, Block # J, New Airport Road, Chairman Bari, Dhaka, Banani",Dhaka,Banani,1992
Ananta Apparels Ltd.,Woven,5.0,1413.0,485,100000,"Shirta ,Denim Trousers ,Overalls","Ananta Plaza, 136, Elephent Road, Dhaka, Dhaka",Dhaka,Dhaka,1992
Ananta Casual Wear Ltd.,Woven,5.0,400.0,150,180000,"Shirts ,Pants ,Trousers","Konia, K.B. Bazar, Gazipur, Gazipur",Gazipur,Gazipur,2009
Ananta Denim Technology Ltd.,Woven,5.0,400.0,150,180000,"Shirts ,Jackets ,T-Shirts","Kashpara (Neya Bari), Kanchpur, Narayanganj, Narayangonj",Narayanganj,Narayangonj,2008
Ananta Fashion Ltd.,Woven,5.0,1819.0,538,120000,"Blouses ,Children Wears ,School Uniforms ,Trousers","Ananta Plaza, 136, Elephant Road, Dhaka, Dhaka",Dhaka,Dhaka,1999
Ananta Garments Ltd.,Woven,5.0,3600.0,1427,550000,"Children Wears ,Shorts ,Skirts ,Trousers","Nischintapur, Ashulia, DEPZ Road, Dhaka, B. Baria",Dhaka,B. Baria,2005
Ananta Huaxiang Ltd.,Sweater,5.0,419.0,451,500000,Sweater,"Plot # 222,223, H2, H3 & H4, Narayanganj, AEPZ",Narayanganj,AEPZ,2014
Ananta Jeanswear Ltd.,Woven,5.0,3650.0,1640,500000,"Children Wears ,Trousers ,Overalls","123, Kabi Jashim Uddin Road, Pagar, Gazipur, Tongi",Gazipur,Tongi,2005
Ananta Sportswear Ltd.,Woven,5.0,3247.0,1425,450000,"Shirts ,Trousers ,Shortalls ,Shorts","Nishchintapur, Ashulia, DEPZ Road, Dhaka, Savar",Dhaka,Savar,1999
Angel Fashion,Knit,5.0,700.0,250,300000,"T-Shirts ,Polo Shirts ,Fleece Jackets ,Pajama Sets","142/1, Senpara Parbata, (Begum Rokeya Sharoni), Mirpur-10, Dhaka, Dhaka",Dhaka,Dhaka,1992
Angel Sweater (BD) Ltd.,Sweater,5.0,400.0,400,65000,Sweaters,"Angel Tower, Matuail, Dakhan Para, Dhaka, Jatrabari",Dhaka,Jatrabari,2008
Angela Fashion Limited,Woven,5.0,246.0,177,18000,"Jackets ,Blouses ,Shortalls","768, D.T. Road, Askarabad, Chittagong, Double Mooring",Chittagong,Double Mooring,1995
Angora Fashions Ltd.,Woven,5.0,1500.0,627,200000,"Shirts ,Pants ,Skirts ,Trousers","Khokon Complex, National University, Gazipur, Chaydana",Gazipur,Chaydana,2008
Angora Sweaters Ltd.,Sweater,5.0,1000.0,436,70000,"Sweaters ,Pullovers ,Cardigans","79-B, Malibagh Chowdhury Para, Dhaka, Malibagh",Dhaka,Malibagh,1995
Angshuk Ltd.,Woven,5.0,450.0,165,90000,"Shirts ,Ladies Blouses ,Shorts","133/134, Hamayetpur, Dhaka, Savar",Dhaka,Savar,1999
Anika Apparels (Pvt) Ltd,Woven,5.0,450.0,225,60000,"Shirts ,Jackets ,Bottoms","Plot # I/1, Gha Part, Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,2000
Anika Fashions (Pvt.) Ltd.,Woven,5.0,440.0,198,80000,"Pants ,Shirts ,Bottoms ,Jackets","Plot # I /1, Gha Part, Dhaka, Mirpur",Dhaka,Mirpur,2012
Anika Garments (Pvt.) Ltd.,Woven,5.0,494.0,278,80000,"Ladies Dresses ,Pants ,Shorts ,Jackets","Plot # I/1, Gha Part (4th Floor), Section # 2, Dhaka, Mirpur",Dhaka,Mirpur,1992
Anisa Knitwear Ltd.,Woven,1.0,3.0,127,1800000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Durgapur, Zirabo, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2023
Anita Apparels Ltd.,Woven,1.0,3.0,151,300000,"T-Shirt ,Shirt ,Boxer","3325/3898, Alonkar Shopping Complex (3rd Floor), Alonkar Mour, Pahartali, Chittagong, Chittagong",Chittagong,Chittagong,2022
Anjuman Garments (Pvt.) Ltd.,Knit,5.0,150.0,115,36000,"Knitted Garments ,Polo Shirts ,Caps","Unique, Uttar Gazirchat, Alia Madrasha Road, Ashulia, Dhaka, B. Baria",Dhaka,B. Baria,1992
Ankhi Apparels Ltd.,Knit,5.0,350.0,150,166400,"T-Shirts ,Polo Shirts ,Bra ,Panty","121/285, BADC Road, West Khulshi, Chittagong, Chittagong",Chittagong,Chittagong,2010
Anlima Textile Ltd.,Knit,5.0,2200.0,605,100000,"Ladies Shirts ,T-Shirts ,Polo Shirts ,Tank Top","Karnapara, Dhaka, Savar",Dhaka,Savar,2004
Annesha Style Ltd.,Sweater,5.0,3000.0,3000,360000,Sweater,"Khehur Bagan, Baro Ashulia, Dhaka, Dhaka",Dhaka,Dhaka,2001
Annex Fashion Ltd.,Knit,5.0,300.0,157,80000,"T-Shirts ,Panties ,Swim Wears","P.M. Center (4th & 5th Floor), 215/216, D.T. Road, Chittagong, Dewanhat",Chittagong,Dewanhat,1998
Anon Tex Knit Tex Ltd.,Knit,5.0,800.0,500,300000,"T-Shirts ,Polo Shirts","538, 540, 541, Vadam, Nishatnagar, Gazipur, Tongi",Gazipur,Tongi,2015
Anowara Apparels Ltd.,Woven,5.0,250.0,150,50000,"Pants ,Shorts ,Trousers","601, Strand Road, Chittagong, Mazhirghat",Chittagong,Mazhirghat,1991
Anowara Dress Makers Ltd.,Woven,5.0,1100.0,795,2680000,"Shirts ,Cargo Pants ,Putter Pants ,Dress Pants","Upahar Complex, CDA Plot # 10, Agrabad C/A, Chittagong, Agrabad",Chittagong,Agrabad,2006
Anowara Fashions Ltd.,Woven,5.0,500.0,250,60000,"Shirts ,Blouses ,Dresses","BSCIC I/E, Chittagong, Kalurghat",Chittagong,Kalurghat,2001
Anowara knit Composite Ltd.,Knit,5.0,1500.0,446,1000000,"T-Shirts ,Polo Shirts","Mulayed, Mawna, Gazipur, Sreepur",Gazipur,Sreepur,2016
ANR Fashion Wear Ltd.,Woven,1.0,450.0,124,300000,"Shirt ,Pant ,T-Shirt ,Polo Shirt, Sweater","Deger Chala Road, National University, Gazipur, Gazipur",Gazipur,Gazipur,2022
Antim Knitting Dyeing & Finising Ltd.,Knit,5.0,500.0,350,900000,"Polo Shirts ,T-Shirts","Rupshi Bus Stand, Narayanganj, Rupganj",Narayanganj,Rupganj,1998
Anupam Eco Fashions Ltd.,Sweater,5.0,1540.0,1300,50000,"Pullovers ,Sweaters ,Cardigans","Dakhin Panishail, Kashimpur, Gazipur, B. Baria",Gazipur,B. Baria,2001
Anupam Hosiery Inds (Pvt) Ltd.,Knit,5.0,3000.0,1560,66500,"T-Shirts ,Jackets ,Pants ,Skirts","Vulta, Rupganj, Narayanganj, Narayangonj",Narayanganj,Narayangonj,1992
Anupom Fashion Wear Ltd.,Woven,5.0,300.0,154,40000,"Jackets ,Overalls ,Pants","Tamanna Complex (3rd Floor), CB-288, Kachukhet, Dhaka, Cantonment",Dhaka,Cantonment,2000
Anza Textile Ltd.,Knit,5.0,50.0,120,114000,"T-Shirts ,Polo Shirts","1558, Access Road, Chittagong, Agrabad",Chittagong,Agrabad,2007
Anzir Apparels Ltd.,Sweater,5.0,1290.0,1238,150000,"Cardigans ,Jumpers ,Cardigans ,Pullovers","South Gazirchat, Baipal, Ashulia, Dhaka, B. Baria",Dhaka,B. Baria,2022
Anzir Apparels Ltd. (U-2),Sweater,5.0,1195.0,1217,350000,"Sweaters ,Pullover ,Cardigans ,Jumpers","Dewan Idris Road, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2004
Anzir Terry Towels Ltd.,Knit,5.0,125.0,52,1650000,Towels,"Gazirchat, Baipail, Ashulia, Dhaka, Savar",Dhaka,Savar,2012
Apace Ltd.,Knit,5.0,250.0,150,50000,"Trousers ,Jackets ,Ladies Dresses","436/457, Chatteswari Road, Gazi Shah Lane, Dev Pahar, Chittagong, Devpahar",Chittagong,Devpahar,2001
Apex Fashion Wear Ltd.,Knit,1.0,3947.0,1385,4200000,,"B-50/3, Kalampur, Kaliakoir, Gazipur, Gazipur",Gazipur,Gazipur,2016
Apex Knit Composite Ltd.,Knit,5.0,350.0,250,400000,"T-Shirts ,Polo Shirts","Gilarchala, Mouza-7, Keowa, Gazipur, Sreepur",Gazipur,Sreepur,2011
Apex Lingerie Ltd.,Knit,5.0,4636.0,1257,2000000,"Ladies Bra ,Panties ,Under Garments ,Briefs","Chandora, Shafipur, Kaliakoir, Gazipur, Gazipur",Gazipur,Gazipur,2000
Apex Spinning & Knitting Mills Ltd.,Knit,5.0,4955.0,948,2800000,"Polo Shirts ,T-Shirts ,Sweat Shirts ,Trousers","Chandora, Shafipur, Kaliakoir, Gazipur, Gazipur",Gazipur,Gazipur,1992
Apex Textile Printing Mills Ltd.,Knit,5.0,5271.0,1164,5300000,"T-Shirts ,Polo Shirts ,Sweat Shirts","Chandora, Shafipur, Kaliakoir, Gazipur, Gazipur",Gazipur,Gazipur,2005
Apex Weaving & Finishing Mills Ltd.,Woven,5.0,705.0,380,635000,"Matress Cover ,Curtains ,Bed Linen ,Cishion Cover","East Chandra, Gazipur, Shafipur",Gazipur,Shafipur,1998
Apical Industries Ltd.,Woven,1.0,513.0,417,125000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Zinzira, Birulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2023
Apollo Apparels Limited,Woven,1.0,2545.0,200,9500000,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Biximco Industrial Park, Sarabo, Kashimpur, Gazipur, Gazipur",Gazipur,Gazipur,2020
Apollo Sewing & Garments Ltd.,Knit,5.0,480.0,283,240000,"Active Wears ,Swiming Suits ,T-Shirts","1 & 4, CDA Momin Road (2nd -5th Floor), Jamal Khan, Chittagong","1 & 4, CDA Momin Road (2nd -5th Floor), Jamal Khan",Chittagong,1991
Apparel Crafts Ltd.,Woven,5.0,519.0,226,156000,"Sleep Wears ,Long Pants ,Boxer Shorts ,Overalls","G.P. GA 185/A, School Road, Dhaka, Mohakhali",Dhaka,Mohakhali,1992
